SMILES,Name,Cluster
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(C(F)(F)F)c1,101311452,5
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)cc1,101302219,2
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101317000,2
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101312911,2
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101316579,2
O=C(COc1ccccc1)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,15894463,5
O=C(COc1ccccc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,101310875,5
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101309336,2
CC[C@@H](C)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,105349055,5
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101304581,5
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC(F)(F)F)cc1,101315693,5
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1C(F)(F)F,101308481,5
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,32506931,5
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32507001,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1)[C@@H]1CCCO1,17721023,5
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101310482,5
CCC(CC)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCO2,101318031,5
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,32504114,5
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1C(F)(F)F,101308470,5
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c1,32504108,5
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,101312725,5
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101310489,5
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101310529,5
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,101302226,2
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1c(Cl)cccc1Cl,101303817,5
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101310484,5
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,101302232,2
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101303266,2
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101310532,5
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1C,101310649,2
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,101075776,5
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1,101300889,2
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1C,101318119,2
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1,101301368,5
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,32504112,5
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101317003,2
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1C,101318114,2
CC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)c(C)c1,16741028,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,101301376,5
CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1,32634579,5
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,101312727,5
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101309337,2
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504188,5
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,36638717,5
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101303278,2
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,101315697,5
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,101303821,5
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,32506929,5
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101309334,2
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)c1C,101310647,2
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,32506943,5
CCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1,16741135,5
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101312909,2
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101309906,2
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504124,5
CCC(CC)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,101318034,5
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,36638578,5
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101309335,2
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101316578,2
